;palabra;segmentacion
109;kintuken;['kintu', 'ke', 'n']
110;kullingeken;['kulli', 'nge', 'ke', 'n']
111;machitun;['machi', 'tu', 'n']
112;machituan;['machi', 'tu', 'a', 'n']
113;femngen;['fem', 'nge', 'n']
114;wechewentrungen;['weche', 'wentru', 'nge', 'n']
115;kutranfun;['kutran', 'fu', 'n']
116;karüngen;['karü', 'nge', 'n']
117;mongetun;['monge', 'tu', 'n']
118;tremolen;['tremo', 'le', 'n']
119;akutun;['aku', 'tu', 'n']
120;ngekefun;['nge', 'ke', 'fu', 'n']
121;yen;['ye', 'n']
122;angküken;['angkü', 'ke', 'n']
123;miyawken;['miyaw', 'ke', 'n']
124;yenieken;['ye', 'nie', 'ke', 'n']
125;feletun;['fele', 'tu', 'n']
126;kintuan;['kintu', 'a', 'n']
127;küpakatrun;['küpa', 'katru', 'n']
128;katruan;['katru', 'a', 'n']
129;elungean;['elu', 'nge', 'a', 'n']
130;ngillatupuken;['ngillatu', 'pu', 'ke', 'n']
131;nentukan;['nentu', 'ka', 'n']
132;entumeken;['entu', 'meke', 'n']
133;pichiletun;['pichi', 'le', 'tu', 'n']
134;amutun;['amu', 'tu', 'n']
135;mülekan;['müle', 'ka', 'n']
136;ngillatun;['ngillatu', 'n']
137;ngillatuken;['ngillatu', 'ke', 'n']
138;miyawkefun;['miyaw', 'ke', 'fu', 'n']
139;ngillatukefun;['ngillatu', 'ke', 'fu', 'n']
140;kümelkaken;['küme', 'l', 'ka', 'ke', 'n']
141;kimngillatun;['kim', 'ngilla', 'tu', 'n']
142;entuken;['entu', 'ke', 'n']
143;ngenpin;['ngen', 'pi', 'n']
144;ñidolkünun;['ñidol', 'künu', 'n']
145;todangen;['toda', 'nge', 'n']
146;weupin;['weupi', 'n']
147;allkütumeken;['allkü', 'tu', 'meke', 'n']
148;pichiwentrungen;['pichi', 'wentru', 'nge', 'n']
149;pichidomongen;['pichi', 'domo', 'nge', 'n']
150;weupikefun;['weupi', 'ke', 'fu', 'n']
151;adumken;['adum', 'ke', 'n']
152;yeweken;['yewe', 'ke', 'n']
153;mapudunguan;['mapudungu', 'a', 'n']
154;llikaleken;['llika', 'le', 'ke', 'n']
155;mapudungukan;['mapudungu', 'ka', 'n']
156;kümeafun;['küme', 'a', 'fu', 'n']
157;mapudungun;['mapudungu', 'n']
158;lakutun;['laku', 'tu', 'n']
159;pingefun;['pi', 'nge', 'fu', 'n']
160;lakun;['laku', 'n']
161;yemeken;['ye', 'meke', 'n']
162;küpalken;['küpal', 'ke', 'n']
163;langümken;['langüm', 'ke', 'n']
164;tukulelngeken;['tuku', 'lel', 'nge', 'ke', 'n']
165;küpalen;['küpa', 'le', 'n']
166;puwan;['puw', 'a', 'n']
167;ngoymafun;['ngoyma', 'fu', 'n']
168;llitun;['llitu', 'n']
169;wingkadunguan;['wingka', 'dungu', 'a', 'n']
170;mapudungukefun;['mapudungu', 'ke', 'fu', 'n']
171;wedalen;['weda', 'le', 'n']
172;ñaman;['ñam', 'a', 'n']
173;ayiwken;['ayi', 'w', 'ke', 'n']
174;pichichengen;['pichi', 'che', 'nge', 'n']
175;kümen;['küme', 'n']
176;fütran;['fütra', 'n']
177;ngoyman;['ngoyma', 'n']
178;tukuafun;['tuku', 'a', 'fu', 'n']
179;kiman;['kim', 'a', 'n']
180;kimelmapudungun;['kimel', 'mapudungu', 'n']
181;feypingen;['fey', 'pi', 'nge', 'n']
182;wingkadungulean;['wingkadungu', 'le', 'a', 'n']
183;wingkadungutuan;['wingkadungu', 'tu', 'a', 'n']
184;piyawkefun;['pi', 'yaw', 'ke', 'fu', 'n']
185;kümetun;['küme', 'tu', 'n']
186;kisulewetun;['kisu', 'le', 'we', 'tu', 'n']
187;wiñotun;['wiño', 'tu', 'n']
188;puwtun;['puw', 'tu', 'n']
189;elcheken;['el', 'che', 'ke', 'n']
190;kalen;['ka', 'le', 'n']
191;kiñengen;['kiñe', 'nge', 'n']
192;mongelean;['monge', 'le', 'a', 'n']
193;tripayan;['tripa', 'ya', 'n']
194;amuan;['amu', 'a', 'n']
195;niekan;['nie', 'ka', 'n']
196;chillkatuken;['chillkatu', 'ke', 'n']
197;feyentufun;['feyentu', 'fu', 'n']
198;kiñelen;['kiñe', 'le', 'n']
199;pefallan;['pe', 'fal', 'la', 'n']
200;pen;['pe', 'n']
201;chengean;['che', 'nge', 'a', 'n']
202;ingkanien;['ingka', 'nie', 'n']
203;illküafun;['illkü', 'a', 'fu', 'n']
204;weshatulen;['wesha', 'tu', 'le', 'n']
205;ayetukechefengen;['aye', 'tu', 'keche', 'fe', 'nge', 'n']
206;feypingeken;['fey', 'pi', 'nge', 'ke', 'n']
207;ketrongen;['ketro', 'nge', 'n']
208;ayetufallan;['aye', 'tu', 'fal', 'la', 'n']
209;illküken;['illkü', 'ke', 'n']
210;kaletun;['ka', 'le', 'tu', 'n']
211;yemean;['ye', 'me', 'a', 'n']
212;nütramkayan;['nütramka', 'ya', 'n']
213;entuan;['entu', 'a', 'n']
214;femkefun;['fem', 'ke', 'fu', 'n']
215;elkunun;['el', 'kunu', 'n']
216;mongeafun;['monge', 'a', 'fu', 'n']
217;amulean;['amu', 'le', 'a', 'n']
218;tralkatun;['tralkatu', 'n']
219;kuydaniekefun;['kuyda', 'nie', 'ke', 'fu', 'n']
220;lifkülekefun;['lif', 'küle', 'ke', 'fu', 'n']
221;yungen;['yu', 'nge', 'n']
222;dewmakefun;['dewma', 'ke', 'fu', 'n']
223;küdawngefun;['küdaw', 'nge', 'fu', 'n']
224;wüdwüdken;['wüdwüd', 'ke', 'n']
225;pünengeken;['püne', 'nge', 'ke', 'n']
226;wedozkünungeken;['wedoz', 'künu', 'nge', 'ke', 'n']
227;fütan;['füta', 'n']
228;dewmangen;['dewma', 'nge', 'n']
229;entungemeken;['entu', 'nge', 'meke', 'n']
230;entupan;['entu', 'pa', 'n']
231;wudwudmeken;['wudwud', 'meke', 'n']
232;wulngeken;['wul', 'nge', 'ke', 'n']
233;wulngekefun;['wul', 'nge', 'ke', 'fu', 'n']
234;ngillangeken;['ngilla', 'nge', 'ke', 'n']
235;kaleken;['ka', 'le', 'ke', 'n']
236;püzümngeken;['püzüm', 'nge', 'ke', 'n']
237;kümeken;['küme', 'ke', 'n']
238;dewmaken;['dewma', 'ke', 'n']
239;küdawmeken;['küdaw', 'meke', 'n']
240;ayiwkülen;['ayi', 'w', 'küle', 'n']
241;ülkantuyawken;['ülkantu', 'yaw', 'ke', 'n']
242;küdawken;['küdaw', 'ke', 'n']
243;ülkantuken;['ülkantu', 'ke', 'n']
244;dewmanieken;['dewma', 'nie', 'ke', 'n']
245;ngillatuñmaleken;['ngillatu', 'ñma', 'le', 'ke', 'n']
246;kisuleken;['kisu', 'le', 'ke', 'n']
247;operangen;['opera', 'nge', 'n']
248;entuñmangen;['entu', 'ñma', 'nge', 'n']
249;punakonkülerken;['puna', 'kon', 'küle', 'rke', 'n']
250;munulkülen;['munu', 'l', 'küle', 'n']
251;ngümaken;['ngüma', 'ke', 'n']
252;eluen;['elu', 'e', 'n']
253;kutrankülen;['kutran', 'küle', 'n']
254;elungen;['elu', 'nge', 'n']
255;elngen;['el', 'nge', 'n']
256;ngillatuyawken;['ngillatu', 'yaw', 'ke', 'n']
257;entumean;['entu', 'me', 'a', 'n']
258;wiñomean;['wiño', 'me', 'a', 'n']
259;elngean;['el', 'nge', 'a', 'n']
260;chemken;['chem', 'ke', 'n']
261;ngillatuan;['ngillatu', 'a', 'n']
262;ngillatukellen;['ngillatu', 'ke', 'lle', 'n']
263;poyengen;['poye', 'nge', 'n']
264;poyengeken;['poye', 'nge', 'ke', 'n']
265;ngillatuñmaniekeen;['ngillatu', 'ñma', 'nie', 'ke', 'e', 'n']
266;konümpakeen;['konümpa', 'ke', 'e', 'n']
267;nütramkaken;['nütramka', 'ke', 'n']
268;yawan;['yaw', 'a', 'n']
269;reyin;['reyi', 'n']
270;ülmenngen;['ülmen', 'nge', 'n']
271;dunguchefengen;['dungu', 'che', 'fe', 'nge', 'n']
272;mülean;['müle', 'a', 'n']
273;wichakefun;['wicha', 'ke', 'fu', 'n']
274;kulpaken;['kulpa', 'ke', 'n']
275;wichakengeken;['wicha', 'ke', 'nge', 'ke', 'n']
276;ñidolkülen;['ñidol', 'küle', 'n']
277;trawükefun;['trawü', 'ke', 'fu', 'n']
278;elungekefun;['elu', 'nge', 'ke', 'fu', 'n']
279;chaftun;['chaf', 'tu', 'n']
280;katrufemñmangeken;['katru', 'fem', 'ñma', 'nge', 'ke', 'n']
281;feyentungekefun;['feyentu', 'nge', 'ke', 'fu', 'n']
282;falingetukefun;['fali', 'nge', 'tu', 'ke', 'fu', 'n']
283;falikefun;['fali', 'ke', 'fu', 'n']
284;yepatun;['ye', 'pa', 'tu', 'n']
285;ngoymangen;['ngoyma', 'nge', 'n']
286;ngürüfniengen;['ngürüf', 'nie', 'nge', 'n']
287;lan;['la', 'n']
288;kimpan;['kim', 'pa', 'n']
289;weñen;['weñe', 'n']
290;putun;['putu', 'n']
291;yenietun;['ye', 'nie', 'tu', 'n']
292;yekafemputun;['ye', 'ka', 'fem', 'pu', 'tu', 'n']
293;küdawmen;['küdaw', 'me', 'n']
294;dullipan;['dulli', 'pa', 'n']
295;wedañmalen;['weda', 'ñma', 'le', 'n']
296;ngollin;['ngolli', 'n']
297;kamapulen;['kamapu', 'le', 'n']
298;punengekefun;['pune', 'nge', 'ke', 'fu', 'n']
299;chelean;['che', 'le', 'a', 'n']
300;puraan;['pura', 'a', 'n']
301;chumlen;['chum', 'le', 'n']
302;pekankameken;['pekanka', 'meke', 'n']
303;piafun;['pi', 'a', 'fu', 'n']
304;niengeken;['nie', 'nge', 'ke', 'n']
305;nieken;['nie', 'ke', 'n']
306;entuchen;['entu', 'che', 'n']
307;chemngen;['chem', 'nge', 'n']
308;amulken;['amu', 'l', 'ke', 'n']
309;chengerken;['che', 'nge', 'rke', 'n']
310;chengen;['che', 'nge', 'n']
311;tripan;['tripa', 'n']
312;eluñmangen;['elu', 'ñma', 'nge', 'n']
313;cheman;['chem', 'a', 'n']
314;chemkerken;['chem', 'ke', 'rke', 'n']
315;relkerken;['rel', 'ke', 'rke', 'n']
316;langümngen;['langüm', 'nge', 'n']
317;elmekefun;['el', 'me', 'ke', 'fu', 'n']
318;ipayan;['i', 'pa', 'ya', 'n']
319;yekefun;['ye', 'ke', 'fu', 'n']
320;misawkefun;['misaw', 'ke', 'fu', 'n']
321;akuñmaken;['aku', 'ñma', 'ke', 'n']
322;yepan;['ye', 'pa', 'n']
323;akuñman;['aku', 'ñma', 'n']
324;yengepan;['ye', 'nge', 'pa', 'n']
325;konpun;['kon', 'pu', 'n']
326;ramtun;['ramtu', 'n']
327;aftukun;['af', 'tuku', 'n']
328;antün;['ant', 'ün']
329;rungalngen;['rungal', 'nge', 'n']
330;puwlen;['puw', 'le', 'n']
331;niefun;['nie', 'fu', 'n']
332;entungean;['entu', 'nge', 'a', 'n']
333;tungean;['tu', 'nge', 'a', 'n']
334;tukukan;['tuku', 'ka', 'n']
335;katrungekefun;['katru', 'nge', 'ke', 'fu', 'n']
336;wallpachemngekefun;['wall', 'pa', 'chem', 'nge', 'ke', 'fu', 'n']
337;nakümngean;['naküm', 'nge', 'a', 'n']
338;chokunumeken;['cho', 'kunu', 'meke', 'n']
339;nawfemkefun;['naw', 'fem', 'ke', 'fu', 'n']
340;kimfun;['kim', 'fu', 'n']
341;lladküngen;['lladkü', 'nge', 'n']
342;konan;['kon', 'a', 'n']
343;ipun;['i', 'pu', 'n']
344;duamkülean;['duam', 'küle', 'a', 'n']
345;dewmakean;['dewma', 'ke', 'a', 'n']
346;apon;['apo', 'n']
347;pepikakefun;['pepi', 'ka', 'ke', 'fu', 'n']
348;ngillatumeken;['ngillatu', 'meke', 'n']
349;punengean;['pune', 'nge', 'a', 'n']
350;chean;['che', 'a', 'n']
351;kütrankulen;['kütranku', 'le', 'n']
352;sacakefun;['saca', 'ke', 'fu', 'n']
353;llellipukefun;['llellipu', 'ke', 'fu', 'n']
354;weftuan;['wef', 'tu', 'a', 'n']
355;tremon;['tremo', 'n']
356;llellipuan;['llellipu', 'a', 'n']
357;künun;['künu', 'n']
358;entufeman;['entu', 'fem', 'a', 'n']
359;utrukunungen;['utru', 'kunu', 'nge', 'n']
360;utrukunungean;['utru', 'kunu', 'nge', 'a', 'n']
361;apolen;['apo', 'le', 'n']
362;nganken;['ngan', 'ke', 'n']
363;apoan;['apo', 'a', 'n']
364;widpulen;['widpu', 'le', 'n']
365;relkunuken;['rel', 'kunu', 'ke', 'n']
366;antüleken;['antü', 'le', 'ke', 'n']
367;apolean;['apo', 'le', 'a', 'n']
368;apopan;['apo', 'pa', 'n']
369;mañumen;['mañum', 'e', 'n']
370;ngoymatuken;['ngoyma', 'tu', 'ke', 'n']
371;kimchefen;['kim', 'che', 'fe', 'n']
372;mülefun;['müle', 'fu', 'n']
373;ngillan;['ngilla', 'n']
374;mülepan;['müle', 'pa', 'n']
375;yepun;['ye', 'pu', 'n']
376;purruken;['purru', 'ke', 'n']
377;purrun;['purru', 'n']
378;antüngekefun;['antü', 'nge', 'ke', 'fu', 'n']
379;kimelngeken;['kimel', 'nge', 'ke', 'n']
380;pedingekefun;['pedi', 'nge', 'ke', 'fu', 'n']
381;pedikefun;['pedi', 'ke', 'fu', 'n']
382;kangen;['ka', 'nge', 'n']
383;weñengekefun;['weñe', 'nge', 'ke', 'fu', 'n']
384;kimelngekefun;['kimel', 'nge', 'ke', 'fu', 'n']
385;weñengepan;['weñe', 'nge', 'pa', 'n']
386;kimweupin;['kim', 'weupi', 'n']
387;feypian;['fey', 'pi', 'a', 'n']
388;pedian;['pedi', 'a', 'n']
389;trawüan;['trawü', 'a', 'n']
390;dewmayengen;['dewma', 'ye', 'nge', 'n']
391;ayun;['ayu', 'n']
392;yengetuan;['ye', 'nge', 'tu', 'a', 'n']
393;ngapin;['ngapi', 'n']
394;ilongeken;['ilo', 'nge', 'ke', 'n']
395;yengekefun;['ye', 'nge', 'ke', 'fu', 'n']
396;ingean;['i', 'nge', 'a', 'n']
397;trawüken;['trawü', 'ke', 'n']
398;yean;['ye', 'a', 'n']
399;pemengen;['pe', 'me', 'nge', 'n']
400;femkellen;['fem', 'ke', 'lle', 'n']
401;miyawan;['miyaw', 'a', 'n']
402;yetumeken;['ye', 'tu', 'meke', 'n']
403;falin;['fali', 'n']
404;yentukunien;['ye', 'n', 'tuku', 'nie', 'n']
405;kimdungun;['kim', 'dungu', 'n']
406;rupakefun;['rupa', 'ke', 'fu', 'n']
407;rupaken;['rupa', 'ke', 'n']
408;pewüdkiyawken;['pewüd', 'kiyaw', 'ke', 'n']
409;konkefun;['kon', 'ke', 'fu', 'n']
410;dullin;['dulli', 'n']
411;papeltun;['papel', 'tu', 'n']
412;wirin;['wiri', 'n']
413;tukun;['tuku', 'n']
414;allkutukefun;['allkutu', 'ke', 'fu', 'n']
415;yentukuniengen;['ye', 'n', 'tuku', 'nie', 'nge', 'n']
416;puwkefun;['puw', 'ke', 'fu', 'n']
417;nütramkapeen;['nütramka', 'pe', 'e', 'n']
418;ngillatufun;['ngillatu', 'fu', 'n']
419;tukunien;['tuku', 'nie', 'n']
420;walloñmalen;['wallo', 'ñma', 'le', 'n']
421;dungulerpun;['dungu', 'le', 'rpu', 'n']
422;chillkatun;['chillkatu', 'n']
423;dewmayan;['dewma', 'ya', 'n']
424;elun;['elu', 'n']
425;witrampurayan;['witra', 'm', 'pura', 'ya', 'n']
426;mapuchedungun;['mapuche', 'dungu', 'n']
427;chillkatuan;['chillkatu', 'a', 'n']
428;amurken;['amu', 'rke', 'n']
429;kimpun;['kim', 'pu', 'n']
430;müpüan;['müpü', 'a', 'n']
431;ellapichiwentrungen;['ella', 'pichi', 'wentru', 'nge', 'n']
432;müpüken;['müpü', 'ke', 'n']
433;elkunukefun;['el', 'kunu', 'ke', 'fu', 'n']
434;amatukefun;['amatu', 'ke', 'fu', 'n']
435;purakintuniekefun;['pura', 'kintu', 'nie', 'ke', 'fu', 'n']
436;amatukefufin;['amatu', 'ke', 'fu', 'fi', 'n']
437;pekefun;['pe', 'ke', 'fu', 'n']
438;chumngen;['chum', 'nge', 'n']
439;ruparumen;['rupa', 'rume', 'n']
440;kuntawkülen;['kuntaw', 'küle', 'n']
441;llikan;['llika', 'n']
442;lefkülen;['lef', 'küle', 'n']
443;mülerken;['müle', 'rke', 'n']
444;nentungen;['nentu', 'nge', 'n']
445;muntuñmangen;['muntu', 'ñma', 'nge', 'n']
446;longkolen;['longko', 'le', 'n']
447;pingerken;['pi', 'nge', 'rke', 'n']
448;longkolean;['longko', 'le', 'a', 'n']
449;ruparken;['rupa', 'rke', 'n']
450;langümngerken;['langüm', 'nge', 'rke', 'n']
451;feypipan;['fey', 'pi', 'pa', 'n']
452;tralkatungefun;['tralkatu', 'nge', 'fu', 'n']
453;neyfükünumeken;['neyfü', 'künu', 'meke', 'n']
454;wakakamañan;['waka', 'kamañ', 'a', 'n']
455;kimelpan;['kimel', 'pa', 'n']
456;chillkatumean;['chillkatu', 'me', 'a', 'n']
457;feypiafun;['fey', 'pi', 'a', 'fu', 'n']
458;ramtukayafun;['ramtu', 'ka', 'ya', 'fu', 'n']
459;llikalen;['llika', 'le', 'n']
460;akuken;['aku', 'ke', 'n']
461;tripaken;['tripa', 'ke', 'n']
462;mülepuan;['müle', 'pu', 'a', 'n']
463;wulpun;['wul', 'pu', 'n']
464;malukangen;['malu', 'ka', 'nge', 'n']
465;yenieafun;['ye', 'nie', 'a', 'fu', 'n']
466;presidentengen;['presidente', 'nge', 'n']
467;nawputun;['naw', 'pu', 'tu', 'n']
468;malukañmangen;['malu', 'ka', 'ñma', 'nge', 'n']
469;kimkerken;['kim', 'ke', 'rke', 'n']
470;yeniengen;['ye', 'nie', 'nge', 'n']
471;wirarkerken;['wira', 'rke', 'rke', 'n']
472;wirarken;['wira', 'rke', 'n']
473;entuñmangeken;['entu', 'ñma', 'nge', 'ke', 'n']
474;muntuñmangeken;['muntu', 'ñma', 'nge', 'ke', 'n']
475;puran;['pura', 'n']
476;purarumen;['pura', 'rume', 'n']
477;adkintumeken;['adkintu', 'meke', 'n']
478;adkintun;['adkintu', 'n']
479;nagadkintun;['nag', 'adkintu', 'n']
480;utrufnagrumen;['utruf', 'nag', 'rume', 'n']
481;layafun;['la', 'ya', 'fu', 'n']
482;trananagrumen;['trana', 'nag', 'rume', 'n']
483;pilerpun;['pi', 'le', 'rpu', 'n']
484;yekerken;['ye', 'ke', 'rke', 'n']
485;wellewelletun;['welle', 'welle', 'tu', 'n']
486;rumen;['rume', 'n']
487;wallowallotun;['wallo', 'wallo', 'tu', 'n']
488;chumafun;['chum', 'a', 'fu', 'n']
489;wallñmatun;['wall', 'ñma', 'tu', 'n']
490;nagpun;['nag', 'pu', 'n']
491;nawpun;['naw', 'pu', 'n']
492;wellelen;['welle', 'le', 'n']
493;perumen;['pe', 'rume', 'n']
494;purapun;['pura', 'pu', 'n']
495;tukulen;['tuku', 'le', 'n']
496;üytungen;['üy', 'tu', 'nge', 'n']
497;mapuchekechilen;['mapuche', 'kechi', 'le', 'n']
498;yengen;['ye', 'nge', 'n']
499;wedalkalen;['weda', 'l', 'ka', 'le', 'n']
500;kechilen;['kechi', 'le', 'n']
501;wünenkülen;['wüne', 'n', 'küle', 'n']
502;feyngen;['fey', 'nge', 'n']
503;fotrangen;['fotra', 'nge', 'n']
504;munulukülen;['munu', 'lu', 'küle', 'n']
505;utrufnagafun;['utruf', 'nag', 'a', 'fu', 'n']
506;mülerumean;['müle', 'rume', 'a', 'n']
507;mülerumen;['müle', 'rume', 'n']
508;utrufnagan;['utruf', 'nag', 'a', 'n']
509;pepun;['pe', 'pu', 'n']
510;anümchengen;['anüm', 'che', 'nge', 'n']
511;indigenangen;['indigena', 'nge', 'n']
512;akulen;['aku', 'le', 'n']
513;inakaramtun;['ina', 'ka', 'ramtu', 'n']
514;nütramkan;['nütramka', 'n']
515;chumngechilen;['chumngechi', 'le', 'n']
516;dunguken;['dungu', 'ke', 'n']
517;felerken;['fele', 'rke', 'n']
518;tranalen;['trana', 'le', 'n']
519;feyentun;['feyentu', 'n']
520;yafutuan;['yafutu', 'a', 'n']
521;ayekan;['ayeka', 'n']
522;anulekarken;['anu', 'le', 'ka', 'rke', 'n']
523;matrulen;['matru', 'le', 'n']
524;illkülen;['illkü', 'le', 'n']
525;pirumelen;['pi', 'rume', 'le', 'n']
526;illküan;['illkü', 'a', 'n']
527;piafufin;['pi', 'a', 'fu', 'fi', 'n']
528;ayen;['aye', 'n']
529;küdawkefun;['küdaw', 'ke', 'fu', 'n']
530;podülpan;['pod', 'ül', 'pa', 'n']
531;waychuftripaken;['waychuf', 'tripa', 'ke', 'n']
532;amutuan;['amu', 'tu', 'a', 'n']
533;pobrengen;['pobre', 'nge', 'n']
534;profesionalngen;['profesional', 'nge', 'n']
535;nentun;['nentu', 'n']
536;kimwirifun;['kim', 'wiri', 'fu', 'n']
537;wirintukuafun;['wiri', 'n', 'tuku', 'a', 'fu', 'n']
538;adumafun;['adum', 'a', 'fu', 'n']
539;amuleken;['amu', 'le', 'ke', 'n']
540;kimafun;['kim', 'a', 'fu', 'n']
541;kimmanejan;['kim', 'maneja', 'n']
542;lladkün;['lladk', 'ün']
543;kudun;['kudu', 'n']
544;namuntuyawkefun;['namun', 'tu', 'yaw', 'ke', 'fu', 'n']
545;tukulkawan;['tuku', 'l', 'ka', 'w', 'a', 'n']
546;kurintukungen;['kuri', 'n', 'tuku', 'nge', 'n']
547;femngechilewen;['femngechi', 'le', 'we', 'n']
548;wilufkülen;['wiluf', 'küle', 'n']
549;apoletun;['apo', 'le', 'tu', 'n']
550;inaramtun;['ina', 'ramtu', 'n']
551;entuafun;['entu', 'a', 'fu', 'n']
552;ngoyllatungen;['ngoylla', 'tu', 'nge', 'n']
553;feypingerken;['fey', 'pi', 'nge', 'rke', 'n']
554;eluafuen;['elu', 'a', 'fu', 'e', 'n']
555;eluafun;['elu', 'a', 'fu', 'n']
556;nagken;['nag', 'ke', 'n']
557;nentungetuan;['nentu', 'nge', 'tu', 'a', 'n']
558;kangetuan;['ka', 'nge', 'tu', 'a', 'n']
559;entungen;['entu', 'nge', 'n']
560;putokokerken;['putoko', 'ke', 'rke', 'n']
561;angkan;['angk', 'a', 'n']
562;afan;['af', 'a', 'n']
563;ramtukan;['ramtu', 'ka', 'n']
