;Palabra;Glosa
63;tranalay;trana-la-y
64;fün;fün
65;yengekefuy;ye-nge-ke-fu-y
66;kim;kim
67;chillkatufe;chillkatufe
68;nawfemkefuy;naw-fem-ke-fu-y
69;pepan;pe-pa-n
70;adumafuy;adum-a-fu-y
71;mapuchedungukeiñ;mapuche-dungu-ke-iñ
72;chemkalafun;chem-ka-la-fu-n
73;tun;tun
74;malal;malal
75;dungukey;dungu-ke-y
76;yentukunuñmafin;ye-n-tu-kunu-ñma-fi-n
77;tranatrananagi;trana-trana-nag-i
78;doctora;doctor-a
79;feyentuiñ;feyentu-iñ
80;hierba;hierba
81;ayekafiiñ;ayeka-fi-iñ
82;llanquin;llanquin
83;nütramkawael;nütramka-w-a-el
84;kudufuyu;kudu-fu-yu
85;kutrantukunuael;kutran-tu-kunu-a-el
86;mülekelafuy;müle-ke-la-fu-y
87;anümka;anümka
88;chillkatupuiñ;chillkatu-pu-iñ
89;tripakefiy;tripa-ke-fi-y
90;pütrün;pütrün
91;doy;doy
92;awkanmekeyngün;awka-n-meke-y-ngün
93;langümafuy;la-ngüma-fu-y
94;nanung;nanung
95;nienoli;nie-no-l-i
96;takukunufuyngün;taku-kunu-fu-y-ngün
97;usakefuy;usa-ke-fu-y
98;miyawkefun;miyaw-ke-fu-n
99;pütrünlefuy;pütrün-le-fu-y
100;trafkintu;trafkintu
101;estado;estado
102;chumkawnorume;chumkawnorume
103;külfü;külfü
104;duami;duam-i
105;müleyekay;müle-ye-ka-y
106;küpawelaymi;küpa-we-la-ymi
107;ngekelaymün;nge-ke-la-ymün
108;mollfün;mollfün
109;rakiduam;rakiduam-
110;puran;pura-n
111;wingkul;wingkul
112;küpangillatulmi;küpa-ngilla-tu-l-mi
113;pamulongkoleymi;pamu-longko-le-ymi
114;ülmen;ülmen
115;huasolekefuy;huaso-le-ke-fu-y
116;nawpuy;naw-pu-y
117;corazon;corazon
118;lawentuchefengelu;lawen-tu-che-fe-nge-lu
119;yewen;yewen
120;wirifengey;wiri-fe-nge-y
121;hora;hora
122;kimmapudungulay;kim-mapudungu-la-y
123;ofisa;ofisa
124;wakakamañkiyawn;waka-kamañ-kiyaw-n
125;re;re
126;pengeltufiñ;pe-nge-l-tu-fi-ñ
127;mongetripafemi;monge-tripa-fem-i
128;feyentungekefuy;feyentu-nge-ke-fu-y
129;allkümen;allkü-me-n
130;oh;oh
131;dewmafiy;dewma-fi-y
132;wedalelu;weda-le-lu
133;nütramkamefiñ;nütramka-me-fi-ñ
134;kankantufulmi;kankan-tu-fu-l-mi
135;enero;enero
136;nageltu;nag-el-tu
137;mutayke;mutayke
138;fülangkülekefuy;fülang-küle-ke-fu-y
139;amukelaiñ;amu-ke-la-iñ
140;utruftukupayngün;utruf-tuku-pa-y-ngün
141;kamapu;kamapu
142;weñefe;weñe-fe
143;llikalu;llika-lu
144;karukatunieel;karukatu-nie-el
145;wengetuy;we-nge-tu-y
146;ngelafuy;nge-la-fu-y
147;repente;repente
148;kimenew;kim-e-n-ew
149;poyengekey;poye-nge-ke-y
150;purayael;pura-ya-el
151;dewmangey;dewma-nge-y
152;pepuyngün;pe-pu-y-ngün
153;feylle;fey-lle
154;katruy;katru-y
155;amuafuyngün;amu-a-fu-y-ngün
156;kimwetulan;kim-we-tu-la-n
157;kümekefuy;küme-ke-fu-y
158;yewentukuniey;yewen-tuku-nie-y
159;fendey;fende-y
160;kimkelafuyngün;kim-ke-la-fu-y-ngün
161;ngillatuael;ngillatu-a-el
162;estudiael;estudia-el
163;mapudungulkefin;mapudungu-l-ke-fi-n
164;castigangekerkefuy;castiga-nge-ke-rke-fu-y
165;ülkantufe;ülkantu-fe
166;perdey;perde-y
167;metro;metro
168;dungukelayngün;dungu-ke-la-y-ngün
169;wulelfuiñ;wul-el-fu-iñ
170;papa;papa
171;kimkelafun;kim-ke-la-fu-n
172;kutranimi;kutran-imi
173;fülkülelu;fül-küle-lu
174;melingelmün;meli-nge-l-mün
175;orkon;orkon
176;herramienta;herramienta
177;langümwün;langüm-w-ün
178;imperial;imperial
179;ülkantulay;ülkantu-la-y
180;rueda;rueda
181;pey;pe-y
182;letra;letra
183;lladküdungulu;lladkü-dungu-lu
184;witrakefiiñ;witra-ke-fi-iñ
185;karetilla;karetilla
186;tripalu;tripa-lu
187;kiñe;kiñe
188;mall;mall
189;chapamtukunungey;chapam-tu-kunu-nge-y
190;allküy;allkü-y
191;fantekey;fante-ke-y
192;kankanufisatufun;kankan-ufisa-tu-fu-n
193;chumimün;chum-imün
194;kimkefiy;kim-ke-fi-y
195;ayeiñ;aye-iñ
196;casualidad;casualidad
197;pellkeley;pellke-le-y
198;ngewelayay;nge-we-la-ya-y
199;mapungetuy;mapu-nge-tu-y
200;iñchiw;iñchiw
201;rulpalaiñ;rulpa-la-iñ
202;eleletew;el-el-e-t-ew
203;femngekefuy;fem-nge-ke-fu-y
204;mapudungupelayayngün;mapudungu-pe-la-ya-y-ngün
205;pekelay;pe-ke-la-y
206;inangey;ina-nge-y
207;aburto;aburto
208;awkantufengeael;awkantu-fe-nge-a-el
209;urpun;u-rpu-n
210;dungun;dungu-n
211;willuletuy;willu-le-tu-y
212;lladkün;lladkü-n
213;chumngechileyngün;chumngechi-le-y-ngün
214;wüdwüdkelu;wüdwüd-ke-lu
215;püñeñkeetew;püñeñ-ke-e-t-ew
216;hectarea;hectarea
217;tukumekeael;tuku-meke-a-el
218;ngollikey;ngolli-ke-y
219;rakiduamkelafun;rakiduam-ke-la-fu-n
220;amukelan;amu-ke-la-n
221;allende;allende
222;mülepatuiñ;müle-pa-tu-iñ
223;pewmangen;pewmangen
224;tripanon;tripa-no-n
225;dullitungekey;dulli-tu-nge-ke-y
226;pichiletuy;pichi-le-tu-y
227;ja;j-a
228;feyta;fey-t-a
229;elu;elu
230;pelafiy;pe-la-fi-y
231;nütramkangeken;nütramka-nge-ke-n
232;wiño;wiño
233;yefimi;ye-fi-mi
234;kimpan;kim-pa-n
235;menos;menos
236;allküleymi;allkü-le-ymi
237;chiwudkefuy;chiwud-ke-fu-y
238;ipayael;i-pa-ya-el
239;pichi;pichi
240;yawfutuam;yawfutu-a-m
241;pais;pais
242;ngillatuwe;ngillatu-we
243;pipukefin;pi-pu-ke-fi-n
244;triparumele;tripa-rume-l-e
245;nentuafuel;nentu-a-fu-el
246;llikakülmün;llika-kül-mün
247;dullin;dulli-n
248;kusheke;kushe-ke
249;purakintukefuy;pura-kintu-ke-fu-y
250;chamalltukefuy;chamall-tu-ke-fu-y
251;mapudungukeyngün;mapudungu-ke-y-ngün
252;rupan;rupa-n
253;pa;pa-
254;asi;asi
255;pañilwe;pañilwe
256;amuleay;amu-le-a-y
257;illkütukulayaymi;illkü-tuku-la-ya-ymi
258;chilengey;chile-nge-y
259;ñidol;ñidol
260;mapuchedungun;mapuche-dungu-n
261;mapudunguletuiñ;mapudungu-le-tu-iñ
262;pichichengen;pichi-che-nge-n
263;cuerpo;cuerpo
264;pengeael;pe-nge-a-el
265;femürkeymün;fem-ürke-ymün
266;kintuafiel;kintu-a-fi-el
267;pingenoalu;pi-nge-no-a-lu
268;miyaw;miyaw-
269;chaku;chaku
270;ngoymakey;ngoyma-ke-y
271;kimkey;kim-ke-y
272;weñengelayaymün;weñe-nge-la-ya-ymün
273;amukeymün;amu-ke-ymün
274;kurewenke;kure-wen-ke
275;loco;loco
276;wallontumekey;wallo-n-tu-meke-y
277;ley;ley
278;lladküngelu;lladkü-nge-lu
279;perkankey;perkan-ke-y
280;tamun;ta-mun
281;waria;waria
282;kimfemkefuy;kim-fem-ke-fu-y
283;mawülay;mawü-la-y
284;trafia;trafia
285;wiñorakiduamtule;wiño-rakiduam-tu-l-e
286;niefuli;nie-fu-l-i
287;mülepeyu;müle-pe-yu
288;yenielkefuy;ye-nie-l-ke-fu-y
289;allkutulu;allkutu-lu
290;kimfuiñ;kim-fu-iñ
291;tunteñma;tunte-ñma
292;plata;plata
293;pipingey;pi-pi-nge-y
294;amatungekeymi;amatu-nge-ke-ymi
295;mamüllngelay;mamüll-nge-la-y
296;ramtuafuy;ramtu-a-fu-y
297;eymün;eymün
298;adumnole;adum-no-le
299;chumlen;chum-le-n
300;rakiduam;rakiduam
301;fantepuy;fante-pu-y
302;pünengekeel;püne-nge-ke-el
303;fonciku;fonciku
304;ingekefuy;i-nge-ke-fu-y
305;yen;ye-n-
306;mekekefuy;meke-ke-fu-y
307;cerco;cerco
308;feypikefueyñmew;fey-pi-ke-fu-e-yñ-mew
309;wichakengekey;wicha-ke-nge-ke-y
310;ñamkonmekey;ñam-kon-meke-y
311;pangkupangkupamekeiñmew;pangku-pangku-pa-meke-iñ-mew
312;aretu;aretu
313;entuñmangekey;entu-ñma-nge-ke-y
314;itrokom;itrokom
315;elungenoael;elu-nge-no-a-el
316;trukukelafiy;truku-ke-la-fi-y
317;nguyukelay;nguyu-ke-la-y
318;akutuyu;aku-tu-yu
319;pitikey;piti-ke-y
320;anümdungu;anüm-dungu
321;kaykay;kaykay
322;kurengey;kure-nge-y
323;putokolmi;putoko-l-mi
324;tokakey;toka-ke-y
325;kimlafuy;kim-la-fu-y
326;dungulay;dungu-la-y
327;ngülawe;ngüla-we
328;yenge;ye-nge
329;awkantumekey;awkantu-meke-y
330;ayiwpulan;ayi-w-pu-la-n
331;miyawi;miyaw-i
332;opinaymi;opina-ymi
333;niefimi;nie-fi-mi
334;küpa;küpa
335;nawñmay;naw-ñma-y
336;dakeluwün;dakelu-w-ün
337;ngillatukellen;ngillatu-ke-lle-n
338;anumngealu;anu-m-nge-a-lu
339;llowdunguaeyu;llow-dungu-a-e-yu
340;angkünagmekey;angkü-nag-meke-y
341;kazi;kazi
342;kullingeken;kulli-nge-ke-n
343;hoja;hoja
344;aerea;aerea
345;küdawtuael;küdaw-tu-a-el
346;kutrankawkülepaiñ;kutrankaw-küle-pa-iñ
347;permiso;permiso
348;kümekey;küme-ke-y
349;duamün;duam-ün
350;vilu;vilu
351;duam;duam
352;niekelan;nie-ke-la-n
353;küpakey;küpa-ke-y
354;malukañmangen;malu-ka-ñma-nge-n
355;akutulu;aku-tu-lu
356;después;después
357;epewfe;epew-fe
358;qui;qu-i
359;milla;milla
360;nielmi;nie-l-mi
361;llitungekey;llitu-nge-ke-y
362;piwyu;pi-w-yu
363;tralka;tralka
364;fentren;fentren
365;profesorngeli;profesor-nge-l-i
366;purrunkiyawfuymi;purru-n-kiyaw-fu-ymi
367;mülele;müle-l-e
368;yeweniefin;ye-we-nie-fi-n
369;wiñorakiduamtuaymün;wiño-rakiduam-tu-a-ymün
370;soya;soya
371;nienole;nie-no-le
372;trafokay;trafo-ka-y
373;nawpan;naw-pa-n
374;faytun;faytun
375;ingkanien;ingka-nie-n
376;yewn;ye-w-n
377;muntukafi;muntu-ka-fi
378;feleel;fele-el
379;mülekay;müle-ka-y
380;femkey;fem-ke-y
381;pata;pa-t-a
382;yu;yu
383;müte;müte
384;wingkadunguael;wingkadungu-a-el
385;kimngillatun;kim-ngilla-tu-n
386;langümngey;langüm-nge-y
387;tukuken;tuku-ke-n
388;tukungeael;tuku-nge-a-el
389;mületuay;müle-tu-a-y
390;mongelelaiñ;monge-le-la-iñ
391;katrun;katru-n
392;puwrumey;puw-rume-y
393;entupaymi;entu-pa-ymi
394;kimelken;kimel-ke-n
395;chumün;chum-ün
396;kisulekaafuy;kisu-le-ka-a-fu-y
397;llamada;llamada
398;rumekelay;rume-ke-la-y
399;dewmakey;dewma-ke-y
400;ruparumele;rupa-rume-l-e
401;kimngelay;kim-nge-la-y
402;kopiwe;kopiwe
403;dungukeymün;dungu-ke-ymün
404;trufur;trufur
405;hubo;hubo
406;nütramkafin;nütramka-fi-n
407;katuto;katuto
408;yeaetew;ye-a-e-t-ew
409;trananawürkey;trana-naw-ürke-y
410;cir;cir
411;unifersidad;unifersidad
412;colocolongelayngün;colo-colo-nge-la-y-ngün
413;kimpapeltulafuy;kim-papel-tu-la-fu-y
414;nada;nada
415;antülekey;antü-le-ke-y
416;el;el
417;tunte;tunte
418;rosendo;rosendo
419;elael;el-a-el
420;wall;wall
421;chemkefueyew;chem-ke-fu-e-y-ew
422;feypikeymün;fey-pi-ke-ymün
423;konpafemafuymi;kon-pa-fem-a-fu-ymi
424;pofrengen;pofre-nge-n
425;kullingeael;kulli-nge-a-el
426;allkülwelay;allkü-l-we-la-y
427;adumkey;adum-ke-y
428;nentuan;nentu-a-n
429;eymu;eymu
430;mülekerkefuy;müle-ke-rke-fu-y
431;achawall;achawall
432;ñamperumey;ñam-pe-rume-y
433;eluyengey;elu-ye-nge-y
434;allküken;allkü-ke-n
435;pepiküdawtulayayngün;pepi-küdaw-tu-la-ya-y-ngün
436;nentuy;nentu-y
437;jose;jose
438;ayefiiñ;aye-fi-iñ
439;puwyu;puw-yu
440;afi;a-fi
441;kimlaymi;kim-la-ymi
442;entuniele;entu-nie-l-e
443;pifuliiñ;pi-fu-li-iñ
444;tüfa;tüfa
445;amun;amu-n
446;witram;witra-m-
447;amule;amu-l-e
448;amutuy;amu-tu-y
449;wallowallotuy;wallo-wallo-tu-y
450;wilufküley;wiluf-küle-y
451;asucura;asucura
452;küdawkelu;küdaw-ke-lu
453;punakonkülerkey;puna-kon-küle-rke-y
454;wecheke;weche-ke
455;anunge;anu-nge
456;humita;humita
457;küpaymi;küpa-ymi
458;poroto;poroto
459;chaw;chaw
460;norte;norte
461;walloñmangekefuiñ;wallo-ñma-nge-ke-fu-iñ
462;dungunofuli;dungu-no-fu-l-i
463;küdawlepun;küdaw-le-pu-n
464;dunguwingün;dungu-w-i-ngün
465;ngillatukeymün;ngillatu-ke-ymün
466;ayekefimi;aye-ke-fi-mi
467;poyekefueyñmew;poye-ke-fu-e-yñ-mew
468;rakin;raki-n
469;pewma;pewma
470;kimfuli;kim-fu-l-i
471;niekeiñ;nie-ke-iñ
472;mongeley;monge-le-y
473;akuleyngün;aku-le-y-ngün
474;dewmakeiñ;dewma-ke-iñ
475;llowñmakelaeyew;llow-ñma-ke-la-e-y-ew
476;mapuchedungutuy;mapuche-dungu-tu-y
477;wirarküley;wirar-küle-y
478;amukelaymi;amu-ke-la-ymi
479;femwelayaymi;fem-we-la-ya-ymi
480;cuando;cuando
481;piken;pi-ke-n
482;nuyu;nuyu
483;mülerkelay;müle-rke-la-y
484;mün;mün
485;mapunchengelu;mapunche-nge-lu
486;ngillamean;ngilla-me-a-n
487;ngütrüngekefuy;ngütrü-nge-ke-fu-y
488;ngütrorlelfi;ngütror-lel-fi
489;vena;vena
490;flor;flor
491;nieken;nie-ke-n
492;ayealu;aye-a-lu
493;kimelngekey;kimel-nge-ke-y
494;pipingekerkefuy;pi-pi-nge-ke-rke-fu-y
495;ralikechiley;rali-kechi-le-y
496;felerkey;fele-rke-y
497;niekelafuy;nie-ke-la-fu-y
498;femngechingeael;femngechi-nge-a-el
499;kutrani;kutran-i
500;doctorngeael;doctor-nge-a-el
501;del;del
502;pikeymi;pi-ke-ymi
503;leliniekefuy;leli-nie-ke-fu-y
504;allkatun;allka-tu-n
505;mülepali;müle-pa-l-i
506;rufngey;ruf-nge-y
507;kewakefuy;kewa-ke-fu-y
508;koylatuy;koyla-tu-y
509;pikepelay;pi-ke-pe-la-y
510;empezafuyngün;empeza-fu-y-ngün
511;kimnielafimi;kim-nie-la-fi-mi
512;semaforo;semaforo
513;pilerpuy;pi-le-rpu-y
514;mallmanngekefuy;mallman-nge-ke-fu-y
515;antü;antü
516;niekefin;nie-ke-fi-n
517;puwaymi;puw-a-ymi
518;trillakefuyngün;trilla-ke-fu-y-ngün
519;ramtukefiñ;ramtu-ke-fi-ñ
520;pinoel;pi-no-el
521;yawlay;yaw-la-y
522;illamngekefuy;illam-nge-ke-fu-y
523;fillantü;fill-antü
524;kimlan;kim-la-n
525;wingkakechileiñ;wingka-kechi-le-iñ
526;tren;tren
527;pifiy;pi-fi-y
528;al;a-l
529;tonfunagngey;tonfu-nag-nge-y
530;tutewkefuiñ;tute-w-ke-fu-iñ
531;cocina;cocina
532;estudiapatufuy;estudia-pa-tu-fu-y
533;ngülamkiyawfimün;ngülam-kiyaw-fi-mün
534;espejo;espejo
535;fotrangey;fotra-nge-y
536;reja;reja
537;torcaza;torcaza
538;mülepay;müle-pa-y
539;küdawan;küdaw-a-n
540;feypifinge;fey-pi-fi-nge
541;nieiñ;nie-iñ
542;yepaenew;ye-pa-e-n-ew
543;miyawkefulu;miyaw-ke-fu-lu
544;putuy;putu-y
545;ngoymay;ngoyma-y
546;pilmi;pi-l-mi
547;mate;mate
548;piwkelimi;piwke-l-imi
549;llowam;llow-a-m
550;ufisatufun;ufisa-tu-fu-n
551;colonialismo;colonialismo
552;fin;fin
553;y;-y
554;chaftulu;chaf-tu-lu
555;kimwingkadungulu;kim-wingkadungu-lu
556;ayiwkülen;ayi-w-küle-n
557;adtukukunuenew;ad-tuku-kunu-e-n-ew
558;kiñekeley;kiñe-ke-le-y
559;kawellu;kawellu
560;dungukelafuy;dungu-ke-la-fu-y
561;nütramkafuyngün;nütramka-fu-y-ngün
562;umawkülen;umaw-küle-n
563;furitu;fur-i-tu
564;ayefiymi;aye-fi-ymi
565;elkunun;el-kunu-n
566;weñengeyngün;weñe-nge-y-ngün
567;amfe;amfe
568;ngolliñmaenew;ngolli-ñma-e-n-ew
569;ngillatukefuyngün;ngillatu-ke-fu-y-ngün
570;kullingeli;kulli-nge-l-i
571;niengekefuiñ;nie-nge-ke-fu-iñ
572;wedake;weda-ke
573;triray;trir-a-y
574;puralu;pura-lu
575;longkon;longko-n
576;adum;adum-
577;mülepuyngün;müle-pu-y-ngün
578;wingkawtuyngün;wingka-w-tu-y-ngün
579;anüm;anüm
580;nieñmuan;nie-ñmu-a-n
581;kümelay;küme-la-y
582;allküymi;allkü-ymi
583;kutrankey;kutran-ke-y
584;amatukefun;amatu-ke-fu-n
585;nielayu;nie-la-yu
586;kimwingkadunguafun;kim-wingkadungu-a-fu-n
587;kutrankawlepay;kutrankaw-le-pa-y
588;dewmafuy;dewma-fu-y
589;tukuafuy;tuku-a-fu-y
590;lukutun;luku-tu-n
591;wulayan;wula-ya-n
592;afke;af-ke
593;feychi;fey-chi
594;entumeael;entu-me-a-el
595;küdawpukeiñ;küdaw-pu-ke-iñ
596;kurengelu;kure-nge-lu
597;kellun;kellu-n
598;chumken;chum-ke-n
599;mapudunguaymün;mapudungu-a-ymün
600;kimpalaymi;kim-pa-la-ymi
601;carniceria;carniceria
602;layay;la-ya-y
603;katrungey;katru-nge-y
604;rukayam;ruka-ya-m
605;famaymi;fam-a-ymi
606;pekelafiy;pe-ke-la-fi-y
607;weñengekelay;weñe-nge-ke-la-y
608;afirmakey;afirma-ke-y
609;elkey;el-ke-y
610;ngümangümakefuiñ;ngüma-ngüma-ke-fu-iñ
611;femlimi;fem-l-imi
612;langümkey;langüm-ke-y
613;femmekeymi;fem-meke-ymi
614;ingkukunuayu;ingku-kunu-a-yu
615;küdawmekelu;küdaw-meke-lu
616;pichiwentrungen;pichi-wentru-nge-n
617;küpakimün;küpa-kim-ün
618;cancer;cancer
619;femkellefuy;fem-ke-lle-fu-y
620;karülele;karü-le-l-e
621;yerpafueymew;ye-rpa-fu-e-y-mew
622;ngollilechi;ngolli-le-chi
623;kimngillatuy;kim-ngillatu-y
624;urkuleymi;urku-le-ymi
625;weftule;wef-tu-l-e
626;dewmayu;dewma-yu
627;walloñmalen;wallo-ñma-le-n
628;dunguwelay;dungu-we-la-y
629;chumngen;chum-nge-n
630;awkantulan;awkantu-la-n
631;weshatulelu;wesha-tu-le-lu
632;trafay;traf-a-y
633;elantükey;el-antü-ke-y
634;nütramkaleyu;nütramka-le-yu
635;yenien;ye-nie-n
636;despues;despues
637;waychuftripakey;waychuf-tripa-ke-y
638;nza;nz-a
639;piwke;piwke
640;folil;folil
641;mapudungulafimi;mapudungu-la-fi-mi
642;tripakerkey;tripa-ke-rke-y
643;künunge;künu-nge
644;amukalu;amu-ka-lu
645;pifun;pi-fu-n
646;feypingen;fey-pi-nge-n
647;corbata;corbata
648;chemley;chem-le-y
649;feypirumeenew;fey-pi-rume-e-n-ew
650;kimlayayiñ;kim-la-ya-y-iñ
651;fütrale;fütra-l-e
652;akutukeiñ;aku-tu-ke-iñ
653;chemael;chem-a-el
654;nentungetuay;nentu-nge-tu-a-y
655;kutrankawün;kutrankaw-ün
656;pütra;pütra
657;küdawtun;küdaw-tu-n
658;kutrankaeyñmew;kutran-ka-e-yñ-mew
659;stoy;sto-y
660;trapumchi;trapum-chi
661;amukeyngün;amu-ke-y-ngün
662;makina;makina
663;ayuwi;ayu-w-i
664;amufule;amu-fu-l-e
665;kellupen;kellu-pe-n
666;nütramkakepafueyñmew;nütramka-ke-pa-fu-e-yñ-mew
667;ful;ful
668;ka;ka
669;kurewen;kure-wen
670;utruftufiy;utruf-tu-fi-y
671;mütrümtufin;mütrüm-tu-fi-n
672;anulekarkey;anu-le-ka-rke-y
673;kutrantuael;kutran-tu-a-el
674;collio;collio
675;pilaeyu;pi-la-e-yu
676;fam;fam
677;vecinowen;vecino-wen
678;lululkiyawfuy;lulul-kiyaw-fu-y
679;illamngey;illam-nge-y
680;feypiaymi;fey-pi-a-ymi
681;chemkeaymün;chem-ke-a-ymün
682;gas;gas
683;lifru;lifru
684;yafutukunuy;yafutu-kunu-y
685;malen;malen
686;feypikefueyew;fey-pi-ke-fu-e-y-ew
687;kimfiy;kim-fi-y
688;linterna;linterna
689;mülekerkey;müle-ke-rke-y
690;ilongekey;ilo-nge-ke-y
691;kellukeymün;kellu-ke-ymün
692;tukungekefuy;tuku-nge-ke-fu-y
693;tüfey;tüfey
694;feypifeypiyefin;fey-pi-fey-pi-ye-fi-n
695;lef;lef
696;pifin;pi-fi-n
697;enseñacherkeymi;enseña-che-rke-ymi
698;furen;furen
699;yemekefuiñ;ye-me-ke-fu-iñ
700;feypikefeyñmew;fey-pi-ke-f-e-yñ-mew
701;aftukuy;af-tuku-y
702;küdawkechiley;küdaw-kechi-le-y
703;utrufentumekey;utruf-entu-meke-y
704;wedwedngekelay;wedwed-nge-ke-la-y
705;adumlay;adum-la-y
706;mülefuy;müle-fu-y
707;fecto;fecto
708;tralkatukonpay;tralkatu-kon-pa-y
709;katruken;katru-ke-n
710;ti;ti
711;amupelayan;amu-pe-la-ya-n
712;ngollin;ngolli-n
713;ngillakamey;ngilla-ka-me-y
714;mapudungukeymün;mapudungu-ke-ymün
715;chumlayay;chum-la-ya-y
716;huerta;huerta
717;pekefun;pe-ke-fu-n
718;kurintukungey;kuri-n-tuku-nge-y
719;kutraniñ;kutran-iñ
720;kimfiñ;kim-fi-ñ
721;chicharron;chicharron
722;ngillatuiñ;ngillatu-iñ
723;ngillatukey;ngillatu-ke-y
724;dewmayaymi;dewma-ya-ymi
725;purakintuniekefun;pura-kintu-nie-ke-fu-n
726;konwelay;kon-we-la-y
727;apolen;apo-le-n
728;ngoyman;ngoyma-n
729;kangetuay;ka-nge-tu-a-y
730;interculturalidad;interculturalidad
731;piyawtuyngün;pi-yaw-tu-y-ngün
732;katrukelaafimün;katru-ke-la-a-fi-mün
733;kutranngey;kutran-nge-y
734;ngillakamean;ngilla-ka-me-a-n
735;ngoymafuymün;ngoyma-fu-ymün
736;weshakelutulelu;weshakelu-tu-le-lu
737;evangelio;evangelio
738;piyawkefiy;pi-yaw-ke-fi-y
739;ayetuke;aye-tu-ke
740;püle;püle
741;puwaymün;puw-a-ymün
742;kimelwün;kimel-w-ün
743;feypiley;fey-pi-le-y
744;kümelen;küme-le-n
745;foye;foye
746;pichiñ;pichiñ
747;mongen;mongen
748;nagkey;nag-ke-y
749;bronconeumonia;bronconeumonia
750;pobrengepe;pobre-nge-pe
751;mapun;mapu-n
752;miyawlu;miyaw-lu
753;ramtupayan;ramtu-pa-ya-n
754;ngoymalan;ngoyma-la-n
755;kimelkefuy;kimel-ke-fu-y
756;awkantufe;awkantu-fe
757;llümunürpay;llümunü-rpa-y
758;identidad;identidad
759;chumlekefuy;chum-le-ke-fu-y
760;wefpay;wef-pa-y
761;feymew;feymew
762;pien;pi-e-n
763;dunguley;dungu-le-y
764;akualu;aku-a-lu
765;kimnolu;kim-no-lu
766;pillkakeafimün;pillka-ke-a-fi-mün
767;amutupelu;amu-tu-pe-lu
768;küpaleyu;küpa-le-yu
769;fülangküley;fülang-küle-y
770;amuleael;amu-le-a-el
771;dungukelafin;dungu-ke-la-fi-n
772;inaramtulay;ina-ramtu-la-y
773;tremkületukey;trem-küle-tu-ke-y
774;puramaiñ;pura-m-a-iñ
775;llellipuael;llellipu-a-el
776;ayiwkefuy;ayi-w-ke-fu-y
777;awar;awar
778;adumay;adum-a-y
779;ayentungenoam;ayentu-nge-no-a-m
780;ngümaiñ;ngüma-iñ
781;küdawmekeymi;küdaw-meke-ymi
782;chillkatufiñ;chillkatu-fi-ñ
783;estacion;estacion
784;feypiafun;fey-pi-a-fu-n
785;amatuken;amatu-ke-n
786;namun;namun
787;mapudungukay;mapudungu-ka-y
788;entumeken;entu-meke-n
789;ngümafin;ngüma-fi-n
790;enseñangele;enseña-nge-l-e
791;konafuy;kon-a-fu-y
792;reyilu;reyi-lu
793;trananaglay;trana-nag-la-y
794;misionero;misionero
795;hector;hector
796;akutuken;aku-tu-ke-n
797;pikellen;pi-ke-lle-n
798;mapunchengetuyngün;mapunche-nge-tu-y-ngün
799;tripakefuy;tripa-ke-fu-y
800;katrukachungekey;katru-kachu-nge-ke-y
801;eluaeyu;elu-a-e-yu
