;palabra;segmentacion
72;llemay;['llemay']
73;inaful;['inaful']
74;re;['re']
75;dewmangekefuy;['dewma','-nge','-ke','-fu','-y']
76;fütrake;['fütra','-ke']
77;llamada;['llamada']
78;miñche;['miñche']
79;foye;['foye']
80;ka;['ka']
81;dungukefuy;['dungu','-ke','-fu','-y']
82;che;['che']
83;ka;['ka']
84;miñche;['miñche']
85;chem;['chem']
86;aliwen;['aliwen']
87;rume;['rume']
88;mülen;['müle','-n']
89;mew;['mew']
90;ka;['ka']
91;fey;['fey']
92;turpu;['turpu']
93;pu;['pu']
94;che;['che']
95;feypikelafuy;['fey','-pi','-ke','-la','-fu','-y']
96;ay;['ay']
97;chumay;['chum','-a','-y']
98;küpay;['küpa','-y']
99;fey;['fey']
100;ngelay;['nge','-la','-y']
101;iyael;['iyael']
102;müley;['müle','-y']
103;iyael;['iyael']
104;pichiñ;['pichiñ']
105;chem;['chem']
106;müten;['müten']
107;pikelafuy;['pi','-ke','-la','-fu','-y']
108;turpu;['turpu']
109;tunten;['tunten']
110;tunten;['tunten']
111;che;['che']
112;mülekefuy;['müle','-ke','-fu','-y']
113;iñche;['iñche']
114;yewün;['ye','-w','-ün']
115;kiñe;['kiñe']
116;comunidad;['comunidad']
117;Nehualwe;['Nehualwe']
118;pingelu;['pi','-nge','-lu']
119;fey;['fey']
120;amukefuy;['amu','-ke','-fu','-y']
121;lamngen;['lamngen']
122;Aburto;['Aburto']
123;Manuel;['Manuel']
124;Aburto;['Aburto']
125;Panguilef;['Panguilef']
126;weupimekefulu;['weupi','-meke','-fu','-lu']
127;dungumekerkefuy;['dungu','-meke','-rke','-fu','-y']
128;tañi;['ta','-ñi']
129;chaf;['chaf']
130;mapuche;['mapuche']
131;Venancio;['Venancio']
132;Coñoepan;['Coñoepan']
133;ka;['ka']
134;chem;['chem']
135;awkiñawkiñngekefuy;['awkiñ','-awkiñ','-nge','-ke','-fu','-y']
136;ñi;['ñi']
137;dungun;['dungu','-n']
138;ka;['ka']
139;mütrümpelu;['mütrüm','-pe','-lu']
140;ñi;['ñi']
141;pu;['pu']
142;peñi;['peñi']
143;ngülampelu;['ngülam','-pe','-lu']
144;ñi;['ñi']
145;pu;['pu']
146;peñi;['peñi']
147;kiñe;['kiñe']
148;lof;['lof']
149;mew;['mew']
150;mülelu;['müle','-lu']
151;che;['che']
152;piy;['pi','-y']
153;weda;['weda']
154;portalu;['porta','-lu']
155;kiñeke;['kiñe','-ke']
156;chaf;['chaf']
157;mapuche;['mapuche']
158;müten;['müten']
159;chemkefueyew;['chem','-ke','-fu','-e','-y','-ew']
160;turpu;['turpu']
161;yemengekelafuy;['ye','-me','-nge','-ke','-la','-fu','-y']
162;ngekelafuy;['nge','-ke','-la','-fu','-y']
163;carabinero;['carabinero']
164;yengekelafuy;['ye','-nge','-ke','-la','-fu','-y']
165;justicia;['justicia']
166;mew;['mew']
167;re;['re']
168;lof;['lof']
169;müten;['müten']
170;feypikefueyew;['fey','-pi','-ke','-fu','-e','-y','-ew']
171;eymi;['eymi']
172;ka;['ka']
173;famaymi;['fam','-a','-ymi']
174;famaymi;['fam','-a','-ymi']
175;müten;['müten']
176;ka;['ka']
177;femlimi;['fem','-l','-imi']
178;kom;['kom']
179;feypingekefuy;['fey','-pi','-nge','-ke','-fu','-y']
180;feyentukefuy;['feyentu','-ke','-fu','-y']
181;che;['che']
182;turpu;['turpu']
183;femnwekelafuy;['fem','-n','-we','-ke','-la','-fu','-y']
184;weda;['weda']
185;portalu;['porta','-lu']
186;turpu;['turpu']
187;lamngen;['lamngen']
188;müna;['müna']
189;fütra;['fütra']
190;küllun;['kül','-lu','-n']
191;che;['che']
192;ta;['ta']
193;müley;['müle','-y']
194;ta;['ta']
195;iñchiñ;['iñchiñ']
196;ta;['ta']
197;che;['che']
198;mew;['mew']
199;mapuche;['mapuche']
200;mew;['mew']
201;rume;['rume']
202;che;['che']
203;trokiwkey;['troki','-w','-ke','-y']
204;che;['che']
205;rume;['rume']
206;yewekefuy;['yewe','-ke','-fu','-y']
207;ka;['ka']
208;pekankalu;['pekanka','-lu']
209;ka;['ka']
210;tukelafuy;['tu','-ke','-la','-fu','-y']
211;chumngelu;['chumngelu']
212;chi;['chi']
213;may;['may']
214;fewla;['fewla']
215;femwelaiñ;['fem','-we','-la','-iñ']
216;reyipen;['reyi','-pe','-n']
217;mew;['mew']
218;may;['may']
219;mollfün;['mollfün']
220;fey;['fey']
221;chi;['chi']
222;colonialismo;['colonialismo']
223;rume;['rume']
224;wedake;['weda','-ke']
225;dungu;['dungu']
226;ta;['ta']
227;müley;['müle','-y']
228;ta;['ta']
229;dew;['dew']
230;kiñe;['kiñe']
231;chem;['chem']
232;entuy;['entu','-y']
233;kiñe;['kiñe']
234;proyecto;['proyecto']
235;rume;['rume']
236;chumi;['chum','-i']
237;chi;['chi']
238;chumngeafuy;['chum','-nge','-a','-fu','-y']
239;kom;['kom']
240;mapuche;['mapuche']
241;ñi;['ñi']
242;üy;['üy']
243;tukuyawlngey;['tuku','-yaw','-l','-nge','-y']
244;fey;['fey']
245;elu;['elu']
246;eluyengey;['elu','-ye','-nge','-y']
247;pingey;['pi','-nge','-y']
248;ka;['ka']
249;turpu;['turpu']
250;chemkülelay;['chem','-küle','-la','-y']
251;fewla;['fewla']
252;rume;['rume']
253;mapudungun;['mapudungun']
254;mew;['mew']
255;ka;['ka']
256;kimkülpe;['kim','-kül','-pe']
257;ta;['ta']
258;pu;['pu']
259;wingka;['wingka']
260;iñchiñ;['iñchiñ']
261;ta;['ta']
262;müten;['müten']
263;welu;['welu']
264;feyngün;['fey','-ngün']
265;ngütraf;['ngütraf']
266;niey;['nie','-y']
267;tañi;['ta','-ñi']
268;piwke;['piwke']
269;engün;['engün']
270;turpu;['turpu']
271;entulay;['entu','-la','-y']
272;rume;['rume']
273;ñi;['ñi']
274;de;['de']
275;repente;['repente']
276;larumele;['la','-rume','-le']
277;ellayay;['el','-la','-ya','-y']
278;tañi;['ta','-ñi']
279;dungun;['dungu','-n']
280;engün;['engün']
281;fey;['fey']
282;kimelkelay;['kimel','-ke','-la','-y']
283;rume;['rume']
284;ñi;['ñi']
285;pu;['pu']
286;püñeñ;['püñeñ']
287;ñi;['ñi']
288;pu;['pu']
289;yall;['yall']
290;wentru;['wentru']
291;ñi;['ñi']
292;püñeñ;['püñeñ']
293;domo;['domo']
294;tañi;['ta','-ñi']
295;laku;['laku']
296;ka;['ka']
297;kimlay;['kim','-la','-y']
298;engün;['engün']
299;rume;['rume']
300;fey;['fey']
301;kimkülpe;['kim','-kül','-pe']
302;ka;['ka']
303;che;['che']
304;piyawyngün;['pi','-yaw','-y','-ngün']
305;müna;['müna']
306;weda;['weda']
307;dungu;['dungu']
308;tati;['ta','-t','-i']
309;fey;['fey']
310;wula;['wula']
311;feypipalay;['fey','-pi','-pa','-la','-y']
312;kuyfi;['kuyfi']
313;pu;['pu']
314;mapuche;['mapuche']
315;feypikefuy;['fey','-pi','-ke','-fu','-y']
316;iñchiñ;['iñchiñ']
317;ta;['ta']
318;fentrentu;['fentren','-tu']
319;kewaiñ;['kewa','-iñ']
320;ya;['ya']
321;yenieam;['ye','-nie','-a','-m']
322;tañi;['ta','-ñi']
323;kewün;['kewün']
324;pikefuy;['pi','-ke','-fu','-y']
325;engün;['engün']
326;awkan;['awka','-n']
327;pingekefuy;['pi','-nge','-ke','-fu','-y']
328;ta;['ta']
329;malon;['malon']
330;kewakefuy;['kewa','-ke','-fu','-y']
331;che;['che']
332;kuyfi;['kuyfi']
333;kewün;['kewün']
334;müten;['müten']
335;niekefuiñ;['nie','-ke','-fu','-y','-iñ']
336;wingkadungukelafuiñ;['wingkadungu','-ke','-la','-fu','-y','-iñ']
337;re;['re']
338;mapudungukefuiñ;['mapudungu','-ke','-fu','-iñ']
339;doy;['doy']
340;che;['che']
341;ka;['ka']
342;lamngen;['lamngen']
343;fey;['fey']
344;wula;['wula']
345;despues;['despues']
346;golpe;['golpe']
347;militar;['militar']
348;mülelu;['müle','-lu']
349;mew;['mew']
350;rume;['rume']
351;wedachewüy;['weda','-che','-w','-üy']
352;engün;['engün']
353;rume;['rume']
354;wedachewüy;['weda','-che','-w','-üy']
355;chumngelu;['chumngelu']
356;chi;['chi']
357;kuyfi;['kuyfi']
358;iñche;['iñche']
359;ka;['ka']
360;presoñma;['preso','-ñma']
361;re;['re']
362;mapudungun;['mapudungun']
363;mew;['mew']
364;ka;['ka']
365;chemkefuy;['chem','-ke','-fu','-y']
366;che;['che']
367;piam;['piam']
368;tripakefuy;['tripa','-ke','-fu','-y']
369;kom;['kom']
370;kimlu;['kim','-lu']
371;am;['am']
372;mapudungun;['mapudungun']
373;fewla;['fewla']
374;may;['may']
375;ta;['ta']
376;kimwelay;['kim','-we','-la','-y']
377;mapudungun;['mapudungun']
378;che;['che']
379;turpu;['turpu']
380;ka;['ka']
381;küpakimlay;['küpa','-kim','-la','-y']
382;rume;['rume']
383;pu;['pu']
384;ñaña;['ñaña']
385;pingekey;['pi','-nge','-ke','-y']
386;pikefuiñ;['pi','-ke','-fu','-iñ']
387;iñche;['iñche']
388;ka;['ka']
389;feypikefin;['fey','-pi','-ke','-fi','-n']
390;pu;['pu']
391;ñaña;['ñaña']
392;ñaña;['ñaña']
393;kimnolmi;['kim','-no','-l','-mi']
394;iñche;['iñche']
395;kimelaeyu;['kimel','-a','-e','-yu']
396;ya;['ya']
397;pikey;['pi','-ke','-y']
398;turpu;['turpu']
399;mütrümwekelayaymi;['mütrüm','-we','-ke','-la','-ya','-ymi']
400;feypien;['fey','-pi','-e','-n']
401;kimelen;['kimel','-e','-n']
402;pikelay;['pi','-ke','-la','-y']
403;turpu;['turpu']
404;iñche;['iñche']
405;mütrümkefin;['mütrüm','-ke','-fi','-n']
406;müley;['müle','-y']
407;ñi;['ñi']
408;papay;['papay']
409;ngelay;['nge','-la','-y']
410;chew;['chew']
411;amuy;['amu','-y']
412;pun;['pun']
413;akualu;['aku','-a','-lu']
414;wula;['wula']
415;pingeken;['pi','-nge','-ke','-n']
416;Feymew;['feymew']
417;pichi;['pichi']
418;nütramkayaiñ;['nütramka','-ya','-iñ']
419;mapudungun;['mapudungun']
420;mew;['mew']
421;fachiantü;['fachiantü']
422;fey;['fey']
423;iñche;['iñche']
424;küpakimün;['küpa','-kim','-ün']
425;kiñeke;['kiñe','-ke']
426;dungu;['dungu']
427;kuyfike;['kuyfi','-ke']
428;dungu;['dungu']
429;kuyfike;['kuyfi','-ke']
430;dungu;['dungu']
431;feymew;['feymew']
432;feypiafuen;['fey','-pi','-a','-fu','-e','-n']
433;kiñeke;['kiñe','-ke']
434;dungu;['dungu']
435;ta;['ta']
436;chumlekefuy;['chum','-le','-ke','-fu','-y']
437;pentukun;['pentuku','-n']
438;kuyfi;['kuyfi']
439;Iñche;['iñche']
440;may;['may']
441;wüne;['wüne']
442;dunguan;['dungu','-a','-n']
443;pentukun;['pentuku','-n']
444;iñche;['iñche']
445;newe;['newe']
446;kimlafiñ;['kim','-laf','-iñ']
447;welu;['welu']
448;kimnien;['kim','-nie','-n']
449;chumngechi;['chumngechi']
450;ñi;['ñi']
451;dewmangeken;['dewma','-nge','-ke','-n']
452;tüfachi;['tüfa','-chi']
453;pentukun;['pentuku','-n']
454;fey;['fey']
455;amukey;['amu','-ke','-y']
456;kiñe;['kiñe']
457;domo;['domo']
458;kam;['kam']
459;kiñe;['kiñe']
460;wentru;['wentru']
461;pemeafilu;['pe','-me','-a','-fi','-lu']
462;tañi;['ta','-ñi']
463;wenüy;['wenüy']
464;fey;['fey']
465;pentukumeafilu;['pentuku','-me','-a','-fi','-lu']
466;fey;['fey']
467;feychi;['fey','-chi']
468;pentukun;['pentuku','-n']
469;niey;['nie','-y']
470;kiñe;['kiñe']
471;dungu;['dungu']
472;ka;['ka']
473;fey;['fey']
474;tüfachi;['tüfa','-chi']
475;dungu;['dungu']
476;lantun;['lantu','-n']
477;dungumeafuy;['dungu','-me','-a','-fu','-y']
478;rume;['rume']
479;feychi;['fey','-chi']
480;dungu;['dungu']
481;mew;['mew']
482;fey;['fey']
483;kiñe;['kiñe']
484;che;['che']
485;lantulu;['lantu','-lu']
486;fey;['fey']
487;amukey;['amu','-ke','-y']
488;ñi;['ñi']
489;wenüy;['wenüy']
490;pemeafilu;['pe','-me','-a','-fi','-lu']
491;ñi;['ñi']
492;wenüy;['wenüy']
493;fey;['fey']
494;müna;['müna']
495;weda;['weda']
496;femimi;['fem','-imi']
497;peñi;['peñi']
498;iñche;['iñche']
499;pepaeyu;['pepa','-e','-yu']
500;ta;['ta']
501;ti;['ti']
502;fey;['fey']
503;feymew;['feymew']
504;ta;['ta']
505;küpan;['küpa','-n']
506;pewmangen;['pewmangen']
507;may;['may']
508;amulele;['amu','-le','-le']
509;tripantü;['tripantü']
510;ngoyma-n-tukuaymi;['ngoyma','-n-tuku','-a','-ymi']
511;dungu;['dungu']
512;feleken;['fele','-ke','-n']
513;fey;['fey']
514;rumeñma;['rume','-ñma']
515;weñangkün;['weñangk','-ün']
516;mew;['mew']
517;che;['che']
518;fey;['fey']
519;pepakeeyew;['pe','-pa','-ke','-e','-y','-ew']
520;tañi;['ta','-ñi']
521;wenüy;['wenüy']
522;feymew;['feymew']
523;yafu-lu-key;['yafu','-lu','-ke','-y']
524;feymew;['feymew']
525;tati;['ta','-ti']
526;pepaeyew;['pe','-pa','-e','-y','-ew']
527;ñi;['ñi']
528;wenüy;['wenüy']
529;kañ;['kañ']
530;püle;['püle']
531;küpalu;['küpa','-lu']
532;feymew;['feymew']
533;pentukun;['pentuku','-n']
534;pingekey;['pi','-nge','-ke','-y']
535;ta;['ta']
536;ti;['ti']
537;fey;['fey']
538;feychi;['fey','-chi']
539;dungu;['dungu']
540;kimniekan;['kim','-nie','-ka','-n']
541;iñche;['iñche']
542;fey;['fey']
543;ka;['ka']
544;müley;['müle','-y']
545;ka;['ka']
546;dungu;['dungu']
547;pentukun;['pentuku','-n']
548;mew;['mew']
549;fey;['fey']
550;ñamle;['ñam','-l'e']
551;kiñe;['kiñe']
552;kulliñ;['kulliñ']
553;mansun;['mansun']
554;nieno-l-e;['nie','-no','-l'e']
555;penole;['pe','-no','-l'e']
556;ñi;['ñi']
557;mansun;['mansun']
558;fey;['fey']
559;amukey;['amu','-ke','-y']
560;ñi;['ñi']
561;wenüy;['wenüy']
562;pentukumeafilu;['pentuku','-me','-a','-fi','-lu']
563;rupale;['rupa','-l'e']
564;fentren;['fentren']
565;antü;['antü']
566;fey;['fey']
567;küyen;['küyen']
568;epu;['epu']
569;küyen;['küyen']
570;chi;['chi']
571;penole;['pe','-no','-l'e']
572;ñi;['ñi']
573;kulliñ;['kulliñ']
574;ka;['ka']
575;amukey;['amu','-ke','-y']
576;ñi;['ñi']
577;wenüy;['wenüy']
578;pemeafilu;['pe','-me','-a','-fi','-lu']
579;ta;['ta']
580;chi;['chi']
581;wentru;['wentru']
582;ñamlu;['ñam','-lu']
583;ñi;['ñi']
584;kulliñ;['kulliñ']
585;müna;['müna']
586;weda;['weda']
587;femimi;['fem','-imi']
588;peñi;['peñi']
589;pepukefiy;['pe','-pu','-ke','-fi','-y']
590;fey;['fey']
591;iñche;['iñche']
592;ta;['ta']
593;küpan;['küpa','-n']
594;pemeafiel;['pe','-me','-a','-fi','-el']
595;ñi;['ñi']
596;wenüy;['wenüy']
597;pikey;['pi','-ke','-y']
598;chi;['chi']
599;wentru;['wentru']
600;feypiy;['fey','-pi','-y']
601;iñche;['iñche']
602;feymew;['feymew']
603;küpan;['küpa','-n']
604;tati;['ta','-t','-i']
605;pekefin;['pe','-ke','-fi','-n']
606;ñi;['ñi']
607;wenüy;['wenüy']
608;fey;['fey']
609;femkelu;['fem','-ke','-lu']
610;kay;['kay']
611;ta;['ta']
612;wenüywenngelu;['wenüy','-wen','-nge','-lu']
613;fey;['fey']
614;chumi;['chum','-i']
615;rume;['rume']
616;tañi;['ta','-ñi']
617;wenüy;['wenüy']
618;amukey;['amu','-ke','-y']
619;pemeafilu;['pe','-me','-a','-fi','-lu']
620;iñche;['iñche']
621;ka;['ka']
622;femli;['fem','-l','-i']
623;eymi;['eymi']
624;amuafuymi;['amu','-a','-fu','-ymi']
625;ta;['ta']
626;ti;['ti']
627;pekefin;['pe','-ke','-fi','-n']
628;tañi;['ta','-ñi']
629;wenüy;['wenüy']
630;uyew;['uyew']
631;tañi;['ta','-ñi']
632;ruka;['ruka']
633;mew;['mew']
634;ka;['ka']
635;pentukun;['pentuku','-n']
636;müley;['müle','-y']
637;chem;['chem']
638;weda;['weda']
639;dungu;['dungu']
640;müleafuy;['müle','-a','-fu','-y']
641;rume;['rume']
642;feychi;['fey','-chi']
643;lof;['lof']
644;mew;['mew']
645;feychi;['fey','-chi']
646;niele;['nie','-l'e']
647;engün;['engün']
648;wedake;['weda','-ke']
649;dungu;['dungu']
650;kewan;['kewa','-n']
651;dungu;['dungu']
652;ka;['ka']
653;amukey;['amu','-ke','-y']
654;ñi;['ñi']
655;wenüy;['wenüy']
656;rumeñma;['rume','-ñma']
657;nga;['nga']
658;femürkeymün;['fem','-ürke','-ymün']
659;tüfa;['tüfa']
660;püle;['püle']
661;eymi;['eymi']
662;ka;['ka']
663;konürkeymi;['kon','-ürke','-ymi']
664;wedake;['weda','-ke']
665;dungu;['dungu']
666;mew;['mew']
667;feymew;['feymew']
668;ta;['ta']
669;ti;['ti']
670;pepaeyu;['pe','-pa','-e','-yu']
671;pikeeyu;['pi','-ke','-e','-yu']
672;ka;['ka']
673;tañi;['ta','-ñi']
674;wenüy;['wenüy']
675;Feymew;['feymew']
676;kuyfi;['kuyfi']
677;ta;['ta']
678;kom;['kom']
679;pu;['pu']
680;che;['che']
681;mülelu;['müle','-lu']
682;lof;['lof']
683;mew;['mew']
684;kellukefuyngün;['kellu','-ke','-fu','-y','-ngün']
685;kellukeyngün;['kellu','-ke','-y','-ngün']
686;llemay;['llemay']
687;kom;['kom']
688;che;['che']
689;mülelu;['müle','-lu']
690;lof;['lof']
691;mew;['mew']
692;kellukeyngün;['kellu','-ke','-y','-ngün']
693;welu;['welu']
694;mülen;['müle','-n']
695;mew;['mew']
696;dungu;['dungu']
697;ka;['ka']
698;amukey;['amu','-ke','-y']
699;kañ;['kañ']
700;püle;['püle']
701;müley;['müle','-y']
702;chi;['chi']
703;wenüy;['wenüy']
704;amukey;['amu','-ke','-y']
705;fey;['fey']
706;nienolu;['nie','-no','-lu']
707;fey;['fey']
708;chi;['chi']
709;lof;['lof']
710;mülenolu;['müle','-no','-lu']
711;ka;['ka']
712;fey;['fey']
713;chi;['chi']
714;lof;['lof']
715;mew;['mew']
716;mülele;['müle','-le']
717;ka;['ka']
718;ka;['ka']
719;amukafuy;['amu','-ka','-fu','-y']
720;welu;['welu']
721;tüfachi;['tüfa','-chi']
722;pentukun;['pentuku','-n']
723;iñche;['iñche']
724;kimfin;['kim','-fi','-n']
725;iñchiñ;['iñchiñ']
726;ñi;['ñi']
727;mapu;['mapu']
728;mew;['mew']
729;fey;['fey']
730;kañ;['kañ']
731;püle;['püle']
732;amukey;['amu','-ke','-y']
733;ta;['ta']
734;pentukualu;['pentuku','-a','-lu']
735;fey;['fey']
736;ka;['ka']
737;chi;['chi']
738;pu;['pu']
739;che;['che']
740;müley;['müle','-y']
741;ñi;['ñi']
742;küdawael;['küdaw','-a','-el']
743;ta;['ta']
744;mapu;['mapu']
745;fey;['fey']
746;müley;['müle','-y']
747;kiñe;['kiñe']
748;dungu;['dungu']
749;mingako;['mingako']
750;pingelu;['pi','-nge','-lu']
751;may;['may']
752;fey;['fey']
753;kiñe;['kiñe']
754;lof;['lof']
755;mew;['mew']
756;müley;['müle','-y']
757;kiñe;['kiñe']
758;lof;['lof']
759;küdaw;['küdaw']
760;pingey;['pi','-nge','-y']
761;ta;['ta']
762;mingako;['mingako']
763;iñchiñ;['iñchiñ']
764;püle;['püle']
765;feychi;['fey','-chi']
766;lof;['lof']
767;küdaw;['küdaw']
768;iñche;['iñche']
769;nieli;['nie','-l','-i']
770;kiñe;['kiñe']
771;fütra;['fütra']
772;mapu;['mapu']
773;ketrayafiel;['ketra','-ya','-fi','-el']
774;fey;['fey']
775;amuken;['amu','-ke','-n']
776;kom;['kom']
777;ruka;['ruka']
778;mew;['mew']
779;werküken;['werkü','-ke','-n']
780;fey;['fey']
781;niealu;['nie','-a','-lu']
782;lof;['lof']
783;küdaw;['küdaw']
784;iñche;['iñche']
785;fey;['fey']
786;kellumuan;['kellu','-mu','-a','-n']
787;pu;['pu']
788;peñi;['peñi']
789;pipukefin;['pi','-pu','-ke','-fi','-n']
790;kisu;['kisu']
791;ñi;['ñi']
792;ruka;['ruka']
793;mew;['mew']
794;elkünuken;['el','-künu','-ke','-n']
795;antü;['antü']
796;fey;['fey']
797;ka;['ka']
798;feypikefin;['fey','-pi','-ke','-fi','-n']
799;engün;['engün']
800;fey;['fey']
801;akukeiñ;['aku','-ke','-iñ']
802;feychi;['fey','-chi']
803;antü;['antü']
804;küpalkeyngün;['küpal','-ke','-y','-ngün']
805;mansun;['mansun']
806;küpalkeyngün;['küpal','-ke','-y','-ngün']
807;araw;['araw']
808;fey;['fey']
809;küdawpakeyngün;['küdaw','-pa','-ke','-y','-ngün']
810;kom;['kom']
811;antü;['antü']
812;aflu;['af','-lu']
813;küdaw;['küdaw']
814;fey;['fey']
815;mülekey;['müle','-ke','-y']
816;pun;['pun']
817;kiñe;['kiñe']
818;fütra;['fütra']
819;kawiñtun;['kawiñ','-tu','-n']
820;fentren;['fentren']
821;che;['che']
822;mülekey;['müle','-ke','-y']
823;amukey;['amu','-ke','-y']
824;ka;['ka']
825;lof;['lof']
826;che;['che']
827;ka;['ka']
828;kañ;['kañ']
829;püle;['püle']
830;mülelu;['müle','-lu']
831;che;['che']
832;ka;['ka']
833;amukey;['amu','-ke','-y']
834;kolletualu;['kolletu','-a','-lu']
835;fey;['fey']
836;fentren;['fentren']
837;kellun;['kellu','-n']
838;mülekefuy;['müle','-ke','-fu','-y']
839;kellukewfuy;['kellu','-ke','-w','-fu','-y']
840;mapuche;['mapuche']
841;kuyfi;['kuyfi']
842;chem;['chem']
843;küdaw;['küdaw']
844;rume;['rume']
845;müley;['müle','-y']
846;fey;['fey']
847;kisu;['kisu']
848;nentukelay;['nentu','-ke','-la','-y']
849;küdaw;['küdaw']
850;ta;['ta']
851;che;['che']
852;pu;['pu']
853;mapuche;['mapuche']
854;mew;['mew']
855;iñchiñ;['iñchiñ']
856;püle;['püle']
857;mülele;['müle','-l'e']
858;fütra;['fütra']
859;küdaw;['küdaw']
860;fey;['fey']
861;akule;['aku','-l'e']
862;pikefingün;['pi','-ke','-fi','-ngün']
863;tañi;['ta','-ñi']
864;pu;['pu']
865;karukatu;['karukatu']
866;tañi;['ta','-ñi']
867;pu;['pu']
868;lof;['lof']
869;mew;['mew']
870;fey;['fey']
871;ka;['ka']
872;che;['che']
873;niele;['nie','-l'e']
874;lof;['lof']
875;küdaw;['küdaw']
876;amukeiñ;['amu','-ke','-iñ']
877;ka;['ka']
878;kellukeiñ;['kellu','-ke','-iñ']
879;kellukewfuy;['kellu','-ke','-w','-fu','-y']
880;fewla;['fewla']
881;müte;['müte']
882;ngewefulay;['nge','-we','-fu','-la','-y']
883;tüfachi;['tüfa','-chi']
884;dungu;['dungu']
885;ka;['ka']
886;akulu;['aku','-lu']
887;wingkadungun;['wingkadungu','-n']
888;fey;['fey']
889;iney;['iney']
890;no;['no']
891;rume;['rume']
892;kisu;['kisu']
893;entulay;['entu','-la','-y']
894;ñi;['ñi']
895;küdaw;['küdaw']
896;kosecha;['kosecha']
897;mew;['mew']
898;nieel;['nie','-el']
899;fey;['fey']
900;rumeñma;['rume','-ñma']
901;kelluwkefuyngün;['kellu','-w','-ke','-fu','-y','-ngün']
902;nentuam;['nentu','-a','-m']
903;ketran;['ketra','-n']
904;poñü;['poñü']
905;fey;['fey']
906;kelluwkeyngün;['kellu','-w','-ke','-y','-ngün']
907;pichike;['pichi','-ke']
908;küdaw;['küdaw']
909;ka;['ka']
910;ruka;['ruka']
911;küdaw;['küdaw']
912;fey;['fey']
913;kisuntu;['kisu','-ntu']
914;küdawkeyngün;['küdaw','-ke','-y','-ngün']
915;ka;['ka']
916;komke;['kom','-ke']
917;antü;['antü']
918;welu;['welu']
919;fütrake;['fütra','-ke']
920;küdaw;['küdaw']
921;purum;['purum']
922;purum;['purum']
923;nentuael;['nentu','-a','-el']
924;fey;['fey']
925;kellumün;['kellu','-mün']
926;pikey;['pi','-ke','-y']
927;ta;['ta']
928;kiñe;['kiñe']
929;che;['che']
930;fey;['fey']
931;akule;['aku','-l'e']
932;pikefin;['pi','-ke','-fi','-n']
933;pu;['pu']
934;che;['che']
935;fey;['fey']
936;amukeyngün;['amu','-ke','-y','-ngün']
937;amukeiñ;['amu','-ke','-iñ']
938;ka;['ka']
939;niele;['nie','-l'e']
940;ka;['ka']
941;che;['che']
942;küdaw;['küdaw']
943;ka;['ka']
944;feypile;['fey','-pi','-l'e']
945;ka;['ka']
946;amukeiñ;['amu','-ke','-iñ']
947;ka;['ka']
948;puwkeiñ;['puw','-ke','-iñ']
949;fey;['fey']
950;ñi;['ñi']
951;ruka;['ruka']
952;mew;['mew']
953;küdawpukeiñ;['küdaw','-pu','-ke','-iñ']
954;fentepuy;['fente','-pu','-y']
955;iñchiñ;['iñchiñ']
956;püle;['püle']
957;müna;['müna']
958;küme;['küme']
959;dungu;['dungu']
960;mülekefuy;['müle','-ke','-fu','-y']
961;kuyfi;['kuyfi']
962;mülekefuy;['müle','-ke','-fu','-y']
